Address;AddressFM;location;point;Lat;Long
In der Beginenklause;Frankfurt am Main In der Beginenklause;In der Beginenklause, Oberrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60599, Deutschland;50.099343, 8.7270692, 0.0;50.099343; 8.7270692
In der Erle;Frankfurt am Main In der Erle;In der Erle, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1474835, 8.7638155, 0.0;50.1474835; 8.7638155
In der Fuchskaut;Frankfurt am Main In der Fuchskaut;In der Fuchskaut, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1880239, 8.6961826, 0.0;50.1880239; 8.6961826
In der Kätcheslach;Frankfurt am Main In der Kätcheslach;In der Kätcheslach, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60438, Deutschland;50.1832089, 8.6389971, 0.0;50.1832089; 8.6389971
In der Kron;Frankfurt am Main In der Kron;In der Kron, Rödelheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60489, Deutschland;50.1276736, 8.601729, 0.0;50.1276736; 8.601729
In der Krümm;Frankfurt am Main In der Krümm;In der Krümm, Nied, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65934, Deutschland;50.1015204, 8.562694, 0.0;50.1015204; 8.562694
In der Römerstadt;Frankfurt am Main In der Römerstadt;In der Römerstadt, Heddernheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1566197, 8.6445202, 0.0;50.1566197; 8.6445202
In der Rosengewann;Frankfurt am Main In der Rosengewann;In der Rosengewann, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1900258, 8.6993604, 0.0;50.1900258; 8.6993604
In der Roterde;Frankfurt am Main In der Roterde;In der Roterde, Berkersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1663492, 8.6924719, 0.0;50.1663492; 8.6924719
In der Sauren Wiese;Frankfurt am Main In der Sauren Wiese;In der Sauren Wiese, Wagenplatz Borsigallee, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1445434, 8.7363606, 0.0;50.1445434; 8.7363606
In der Schildwacht;Frankfurt am Main In der Schildwacht;In der Schildwacht, Griesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65933, Deutschland;50.0989171, 8.5923625, 0.0;50.0989171; 8.5923625
In der Wink;Frankfurt am Main In der Wink;In der Wink, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1902438, 8.6376015, 0.0;50.1902438; 8.6376015
Inckusstraße;Frankfurt am Main Inckusstraße;Inckusstraße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60320, Deutschland;50.1404257, 8.6796949, 0.0;50.1404257; 8.6796949
